"Country","Region","Type","Country1","lat1","lon1","top1","right1","bottom1","left1"
"Harari","Sub Saharan Africa","City","Ethiopia","","","","","",""
"Heard Island and McDonald Islands","","Country","Heard Island and McDonald Islands","-53.08","73.48","73.23","-53.2","73.72","-52.96"
"Hinche","Latin America & Caribbean","City","Haiti","","","","","",""
"Honduras","","Country","Honduras","14.5","-86.24","-89.35","12.99","-83.13","16.02"
"Hong Kong","","Country","Hong Kong","22.41","114.14","113.9","22.28","114.39","22.55"
"Hubei","Asia","City","China","","","","","",""
"Hunan","Asia","City","China","","","","","",""
"Hungary","","Country","Hungary","47.17","19.5","16.11","45.76","22.89","48.58"
"Ibadan","Sub Saharan Africa","City","Nigeria","","","","","",""
"Iceland","","Country","Iceland","64.97","-19.01","-24.52","63.4","-13.5","66.53"
"Illela","Sub Saharan Africa","City","Nigeria","","","","","",""
"India","Asia","Country","India","21.37","82.77","68.14","6.75","97.39","35.99"
"Indonesia","Asia","Country","Indonesia","-2.64","118.1","95.2","-10.93","141.01","5.65"
"Iran","","Country","Iran","32.43","53.69","44.03","25.08","63.34","39.78"
"Iraq","","Country","Iraq","33.24","43.67","38.79","29.1","48.55","37.38"
"Ireland","","Country","Ireland","53.41","-8.23","-10.47","51.45","-5.99","55.38"
"Iringa","Sub Saharan Africa","City","Tanzania","","","","","",""
"Isle of Man","","Country","Isle of Man","54.23","-4.55","-4.78","54.06","-4.31","54.41"
"Israel","","Country","Israel","31.39","34.97","34.27","29.49","35.67","33.29"
"Italy","","Country","Italy","41.87","12.57","6.62","36.65","18.51","47.09"
"Jacmel","Latin America & Caribbean","City","Haiti","","","","","",""
"Jamaica","","Country","Jamaica","18.11","-77.28","-78.37","17.7","-76.19","18.52"
"Japan","","Country","Japan","35.79","136.74","127.65","26.08","145.82","45.51"
"Jeremie","Latin America & Caribbean","City","Haiti","","","","","",""
"Jijinga","Sub Saharan Africa","City","Ethiopia","","","","","",""
"Jimma","Sub Saharan Africa","City","Ethiopia","","","","","",""
"Jordan","","Country","Jordan","31.28","37.09","34.88","29.19","39.3","33.38"
"Kano","Sub Saharan Africa","City","Nigeria","","","","","",""
"Karachi","Asia","City","Pakistan","","","","","",""
"Kaura","Sub Saharan Africa","City","Nigeria","","","","","",""
"Kazakhstan","","Country","Kazakhstan","48.02","66.92","46.5","40.59","87.35","55.44"
"Kenya","Sub Saharan Africa","Country","Kenya","-0.03","37.93","33.95","-4.67","41.91","4.62"
"Kiribati","","Country","Kiribati","1.87","-157.38","-157.57","1.71","-157.19","2.03"
"Kisangani","Sub Saharan Africa","City","DR Congo","","","","","",""
"Kisumu","Sub Saharan Africa","City","Kenya","","","","","",""
"Kitui","Sub Saharan Africa","City","Kenya","","","","","",""
"Kosovo","","Country","Kosovo","42.56","20.9","19.98","41.86","21.82","43.27"
"Kuwait","","Country","Kuwait","29.31","47.48","46.54","28.54","48.42","30.08"
"Kyrgyzstan","","Country","Kyrgyzstan","41.23","74.77","69.25","39.19","80.29","43.27"
"Lahore","Asia","City","Pakistan","","","","","",""
"Laos","","Country","Laos","18.21","103.89","100.09","13.92","107.7","22.5"
"Latvia","","Country","Latvia","56.88","24.61","20.99","55.67","28.24","58.08"
"Lebanon","","Country","Lebanon","33.88","35.86","35.1","33.06","36.62","34.69"
"Leon","Latin America & Caribbean","City","Nicaragua","","","","","",""
"Les Cayes","Latin America & Caribbean","City","Haiti","","","","","",""
"Lesotho","","Country","Lesotho","-29.61","28.24","27.01","-30.66","29.46","-28.57"
"Liberia","Sub Saharan Africa","Country","Liberia","6.46","-9.43","-11.5","4.35","-7.37","8.57"
"Libya","","Country","Libya","26.33","17.22","9.3","19.5","25.13","33.17"
"Liechtenstein","","Country","Liechtenstein","47.16","9.56","9.48","47.05","9.64","47.27"
"Lilongwe","Sub Saharan Africa","City","Malawi","","","","","",""
"Lima","Latin America & Caribbean","City","Peru","","","","","",""
"Lithuania","","Country","Lithuania","55.17","23.88","20.93","53.89","26.82","56.45"
"Liwonde","Sub Saharan Africa","City","Malawi","","","","","",""
"Lizulu","Sub Saharan Africa","City","Malawi","","","","","",""
"Luxembourg","","Country","Luxembourg","49.81","6.13","5.73","49.45","6.52","50.17"
"Macau","","Country","Macau","22.15","113.57","113.53","22.09","113.6","22.21"
"Macedonia","","Country","Macedonia","41.61","21.75","20.46","40.86","23.03","42.36"
"Madagascar","Sub Saharan Africa","Country","Madagascar","-22.25","46.86","43.22","-25.6","50.5","-11.95"
"Mai Adua","Sub Saharan Africa","City","Nigeria","","","","","",""
"Malawi","Sub Saharan Africa","Country","Malawi","-13.25","34.31","32.69","-17.14","35.92","-9.37"
"Malaysia","","Country","Malaysia","4.11","109.46","99.65","0.85","119.28","7.36"
"Maldives","","Country","Maldives","3.2","73.22","72.68","-0.69","73.75","7.1"
"Mali","","Country","Mali","17.57","-4","-12.25","10.14","4.25","25"
"Malta","","Country","Malta","35.94","14.38","14.18","35.8","14.57","36.08"
"Managua","Latin America & Caribbean","City","Nicaragua","","","","","",""
"Maputo","Sub Saharan Africa","City","Mozambique","","","","","",""
"Martinique","","Country","Martinique","14.64","-61.02","-61.23","14.4","-60.81","14.88"
"Mauritania","","Country","Mauritania","21","-10.93","-17.05","14.73","-4.81","27.28"
"Mauritius","","Country","Mauritius","-20.25","57.55","57.31","-20.51","57.79","-20"
"Maxixe","Sub Saharan Africa","City","Mozambique","","","","","",""
"Mekele","Sub Saharan Africa","City","Ethiopia","","","","","",""
"Mexico","","Country","Mexico","23.63","-101.93","-117.12","14.55","-86.75","32.72"
"Moldova","","Country","Moldova","46.97","28.38","26.64","45.45","30.13","48.49"
"Mombasa","Sub Saharan Africa","City","Kenya","","","","","",""
"Mongolia","","Country","Mongolia","46.86","103.84","87.76","41.58","119.93","52.14"
"Montenegro","","Country","Montenegro","42.7","19.42","18.45","41.85","20.38","43.56"
"Morocco","","Country","Morocco","31.79","-7.09","-13.18","27.67","-1.01","35.92"
"Moussoro","Sub Saharan Africa","City","Chad","","","","","",""
"Mozambique","Sub Saharan Africa","Country","Mozambique","-18.67","35.53","30.21","-26.86","40.84","-10.48"
"Multan","Asia","City","Pakistan","","","","","",""
"Mumbai","Asia","City","India","","","","","",""
"Myanmar","","Country","Myanmar","19.27","96.68","92.19","9.99","101.16","28.55"
"Mzimba","Sub Saharan Africa","City","Malawi","","","","","",""
"Mzuzu","Sub Saharan Africa","City","Malawi","","","","","",""
"N'Djamena","Sub Saharan Africa","City","Chad","","","","","",""
"Nairobi","Sub Saharan Africa","City","Kenya","","","","","",""
"Nakuru","Sub Saharan Africa","City","Kenya","","","","","",""
"Namibia","","Country","Namibia","-22.96","18.5","11.73","-28.96","25.27","-16.97"
"Nampula","Sub Saharan Africa","City","Mozambique","","","","","",""
"Nekempte","Sub Saharan Africa","City","Ethiopia","","","","","",""
"Nepal","","Country","Nepal","28.38","84.13","80.06","26.35","88.2","30.42"
"Netherlands","","Country","Netherlands","52.13","5.29","3.36","50.76","7.21","53.51"
"Netherlands Antilles","","Country","Netherlands Antilles","12.45","-69.39","-70.28","12.03","-68.5","12.86"
"New Caledonia","","Country","New Caledonia","-21.24","166.07","163.99","-22.39","168.15","-20.09"
"New Zealand","","Country","New Zealand","-41.96","172.06","165.57","-50.85","178.56","-33.07"
"Nicaragua","Latin America & Caribbean","Country","Nicaragua","12.87","-85.41","-87.69","10.71","-83.13","15.02"
"Niger","","Country","Niger","17.61","8.08","0.17","11.69","16","23.52"
"Nigeria","Sub Saharan Africa","Country","Nigeria","9.09","8.68","2.68","4.28","14.67","13.89"
"North Korea","","Country","North Korea","40.33","127.51","124.32","37.68","130.69","42.98"
"Northern Mariana Islands","","Country","Northern Mariana Islands","13.44","144.79","144.62","13.24","144.95","13.63"
"Norway","","Country","Norway","69.25","12.25","-9.12","58","33.62","80.51"
"Nsanje","Sub Saharan Africa","City","Malawi","","","","","",""
"Oman","","Country","Oman","20.84","55.87","51.9","16.64","59.84","25.04"
"Ouanaminthe","Latin America & Caribbean","City","Haiti","","","","","",""
"Pakistan","Asia","Country","Pakistan","30.38","69.35","60.87","23.69","77.83","37.06"
"Panama","","Country","Panama","8.41","-80.09","-83.03","7.21","-77.15","9.62"
"Papua New Guinea","","Country","Papua New Guinea","-6.79","147.31","140.85","-11.62","153.78","-1.95"
"Paraguay","","Country","Paraguay","-23.44","-58.44","-62.64","-27.59","-54.24","-19.3"
"Patna","Asia","City","India","","","","","",""
"Peru","Latin America & Caribbean","Country","Peru","-9.19","-75.02","-81.36","-18.35","-68.69","-0.04"
"Peshawar","Asia","City","Pakistan","","","","","",""
"Philippines","","Country","Philippines","11.85","121.89","117.17","5.05","126.6","18.65"
"Poland","","Country","Poland","51.92","19.14","14.13","49.01","24.14","54.84"
"Port-au-Prince","Latin America & Caribbean","City","Haiti","","","","","",""
"Portugal","","Country","Portugal","37.39","-17.37","-28.55","32.64","-6.19","42.15"
"Puerto Rico","","Country","Puerto Rico","18.22","-66.44","-67.26","17.93","-65.63","18.51"
"Qatar","","Country","Qatar","25.35","51.18","50.75","24.56","51.61","26.15"
"Quetta","Asia","City","Pakistan","","","","","",""
"Reunion","","Country","Reunion","-21.12","55.54","55.22","-21.37","55.85","-20.87"
"Rio San Juan","Latin America & Caribbean","City","Nicaragua","","","","","",""
"Romania","","Country","Romania","45.94","24.98","20.26","43.62","29.7","48.25"
"Russian Fed.","","Country","Russian Fed.","62.23","103.49","26.97","41.2","180","83.27"
"Rwanda","","Country","Rwanda","-1.94","29.86","28.85","-2.83","30.88","-1.06"
"Saint Helena","","Country","Saint Helena","-15.96","-5.72","-5.79","-16.02","-5.64","-15.89"
"Saminaka","Sub Saharan Africa","City","Nigeria","","","","","",""
"Samoa","","Country","Samoa","-13.76","-172.11","-172.77","-14.05","-171.44","-13.46"
"San Marino","","Country","San Marino","43.94","12.46","12.41","43.89","12.51","43.99"
"São Paulo","Latin America & Caribbean","City","Brazil","","","","","",""
"Sao Tome And Principe","","Country","Sao Tome And Principe","0.86","6.96","6.46","0.02","7.46","1.7"
"Saudi Arabia","","Country","Saudi Arabia","23.67","45.56","34.6","15.11","56.51","32.24"
"Senegal","","Country","Senegal","14.5","-14.44","-17.52","12.3","-11.36","16.69"
"Serbia","","Country","Serbia","44.2","20.92","18.83","42.23","23.01","46.17"
"Seychelles","","Country","Seychelles","-4.53","55.58","55.37","-4.79","55.79","-4.28"
"Sierra Leone","","Country","Sierra Leone","8.46","-11.78","-13.3","6.91","-10.27","10"
"Singapore","","Country","Singapore","1.34","103.82","103.65","1.26","104","1.43"
"Slovakia","","Country","Slovakia","48.67","19.7","16.84","47.74","22.56","49.61"
"Slovenia","","Country","Slovenia","46.15","15","13.38","45.43","16.61","46.87"
"Solomon Islands","","Country","Solomon Islands","-8.43","158.46","154.53","-11.85","162.39","-5.02"
"Somalia","","Country","Somalia","5.52","47.76","40.99","-1.67","54.53","12.71"
"South Africa","","Country","South Africa","-28.48","24.68","16.47","-34.81","32.89","-22.14"
